State/Province,Country/Region,Lat,Long,ID
,Nepal,28.1667,84.25,223
,Nepal,28.1667,84.25,224
,Nepal,28.1667,84.25,225
,Nepal,28.1667,84.25,226
,Nepal,28.1667,84.25,227
,Nepal,28.1667,84.25,228
,Nepal,28.1667,84.25,229
,Nepal,28.1667,84.25,230
,Nepal,28.1667,84.25,231
,Nepal,28.1667,84.25,232
,Nepal,28.1667,84.25,233
,Nepal,28.1667,84.25,234
,Nepal,28.1667,84.25,235
,Nepal,28.1667,84.25,236
,Nepal,28.1667,84.25,237
,Nepal,28.1667,84.25,238
,Nepal,28.1667,84.25,239
,Nepal,28.1667,84.25,240
,Malaysia,2.5,112.5,241
,Malaysia,2.5,112.5,242
,Malaysia,2.5,112.5,243
,Malaysia,2.5,112.5,244
,Malaysia,2.5,112.5,245
,Malaysia,2.5,112.5,246
,Malaysia,2.5,112.5,247
,Malaysia,2.5,112.5,248
,Malaysia,2.5,112.5,249
,Malaysia,2.5,112.5,250
,Malaysia,2.5,112.5,251
,Malaysia,2.5,112.5,252
,Malaysia,2.5,112.5,253
,Malaysia,2.5,112.5,254
,Malaysia,2.5,112.5,255
,Malaysia,2.5,112.5,256
,Malaysia,2.5,112.5,257
,Malaysia,2.5,112.5,258
,Malaysia,2.5,112.5,259
,Malaysia,2.5,112.5,260
,Malaysia,2.5,112.5,261
,Malaysia,2.5,112.5,262
,Malaysia,2.5,112.5,263
,Malaysia,2.5,112.5,264
,Malaysia,2.5,112.5,265
,Malaysia,2.5,112.5,266
,Malaysia,2.5,112.5,267
,Malaysia,2.5,112.5,268
,Malaysia,2.5,112.5,269
,Malaysia,2.5,112.5,270
,Malaysia,2.5,112.5,271
,Malaysia,2.5,112.5,272
,Malaysia,2.5,112.5,273
,Malaysia,2.5,112.5,274
,Malaysia,2.5,112.5,275
,Malaysia,2.5,112.5,276
,Malaysia,2.5,112.5,277
,Malaysia,2.5,112.5,278
,Malaysia,2.5,112.5,279
,Malaysia,2.5,112.5,280
,Malaysia,2.5,112.5,281
,Malaysia,2.5,112.5,282
,Malaysia,2.5,112.5,283
,Malaysia,2.5,112.5,284
,Malaysia,2.5,112.5,285
,Malaysia,2.5,112.5,286
,Malaysia,2.5,112.5,287
,Malaysia,2.5,112.5,288
,Malaysia,2.5,112.5,289
,Malaysia,2.5,112.5,290
,Malaysia,2.5,112.5,291
,Malaysia,2.5,112.5,292
,Malaysia,2.5,112.5,293
,Malaysia,2.5,112.5,294
,Malaysia,2.5,112.5,295
,Malaysia,2.5,112.5,296
,Malaysia,2.5,112.5,297
,Malaysia,2.5,112.5,298
,Malaysia,2.5,112.5,299
,Malaysia,2.5,112.5,300
