Confirm_Count,ID
2,1
3,2
5,3
7,4
8,5
8,6
14,7
14,8
14,9
19,10
19,11
19,12
19,13
25,14
25,15
25,16
25,17
32,18
32,19
32,20
33,21
33,22
33,23
33,24
33,25
34,26
35,27
35,28
35,29
35,30
35,31
35,32
35,33
35,34
37,35
40,36
40,37
41,38
42,39
42,40
43,41
43,42
43,43
47,44
48,45
50,46
50,47
50,48
53,49
59,50
70,51
75,52
82,53
114,54
147,55
177,56
212,57
272,58
322,59
411,60
2,61
1,62
2,63
2,64
4,65
4,66
7,67
7,68
11,69
15,70
20,71
20,72
20,73
22,74
22,75
45,76
25,77
25,78
26,79
26,80
26,81
28,82
28,83
29,84
43,85
59,86
66,87
74,88
84,89
94,90
105,91
122,92
147,93
159,94
170,95
189,96
214,97
228,98
241,99
256,100
274,101
293,102
331,103
360,104
420,105
461,106
502,107
511,108
581,109
639,110
639,111
701,112
773,113
839,114
825,115
878,116
889,117
924,118
963,119
1007,120
0,121
1,122
3,123
3,124
4,125
5,126
7,127
7,128
10,129
13,130
16,131
18,132
18,133
24,134
28,135
28,136
30,137
33,138
40,139
45,140
47,141
50,142
58,143
67,144
72,145
75,146
77,147
81,148
84,149
84,150
85,151
85,152
89,153
89,154
91,155
93,156
93,157
93,158
102,159
106,160
108,161
110,162
110,163
117,164
130,165
138,166
150,167
150,168
160,169
178,170
178,171
200,172
212,173
226,174
243,175
266,176
313,177
345,178
385,179
432,180
0,181
0,182
0,183
1,184
1,185
1,186
1,187
1,188
1,189
1,190
1,191
1,192
1,193
1,194
1,195
1,196
1,197
1,198
1,199
1,200
1,201
1,202
1,203
1,204
1,205
1,206
1,207
1,208
1,209
1,210
1,211
1,212
1,213
1,214
1,215
1,216
1,217
1,218
1,219
1,220
1,221
1,222
1,223
1,224
1,225
1,226
1,227
1,228
1,229
1,230
1,231
1,232
1,233
1,234
1,235
1,236
1,237
1,238
1,239
1,240
0,241
0,242
0,243
3,244
4,245
4,246
4,247
7,248
8,249
8,250
8,251
8,252
8,253
10,254
12,255
12,256
12,257
16,258
16,259
18,260
18,261
18,262
19,263
19,264
22,265
22,266
22,267
22,268
22,269
22,270
22,271
22,272
22,273
22,274
22,275
22,276
23,277
23,278
25,279
29,280
29,281
36,282
50,283
50,284
83,285
93,286
99,287
117,288
129,289
149,290
149,291
197,292
238,293
428,294
566,295
673,296
790,297
900,298
1030,299
1183,300
0,301
0,302
0,303
0,304
0,305
0,306
1,307
1,308
1,309
1,310
1,311
1,312
1,313
1,314
2,315
2,316
4,317
4,318
4,319
4,320
4,321
4,322
4,323
4,324
4,325
4,326
5,327
5,328
5,329
5,330
6,331
6,332
6,333
6,334
7,335
7,336
7,337
7,338
8,339
8,340
8,341
9,342
12,343
13,344
21,345
21,346
27,347
32,348
32,349
39,350
46,351
64,352
64,353
73,354
103,355
103,356
186,357
231,358
271,359
424,360
0,361
0,362
0,363
0,364
3,365
4,366
4,367
4,368
4,369
4,370
4,371
4,372
4,373
4,374
4,375
4,376
4,377
4,378
4,379
4,380
4,381
4,382
4,383
4,384
4,385
4,386
4,387
4,388
4,389
4,390
4,391
4,392
4,393
4,394
4,395
4,396
4,397
4,398
4,399
6,400
6,401
13,402
22,403
22,404
26,405
28,406
38,407
48,408
55,409
65,410
65,411
92,412
112,413
134,414
171,415
210,416
267,417
307,418
353,419
436,420
0,421
0,422
0,423
0,424
1,425
1,426
1,427
1,428
2,429
3,430
4,431
4,432
4,433
4,434
4,435
4,436
4,437
4,438
4,439
4,440
4,441
4,442
4,443
4,444
4,445
4,446
4,447
4,448
4,449
4,450
4,451
4,452
4,453
4,454
4,455
4,456
4,457
4,458
7,459
7,460
9,461
9,462
10,463
10,464
10,465
11,466
11,467
15,468
18,469
21,470
21,471
36,472
49,473
57,474
71,475
94,476
121,477
121,478
121,479
229,480
0,481
0,482
0,483
0,484
0,485
0,486
0,487
1,488
3,489
2,490
3,491
2,492
2,493
3,494
3,495
4,496
5,497
5,498
5,499
5,500
5,501
5,502
5,503
5,504
5,505
5,506
5,507
5,508
5,509
5,510
5,511
5,512
5,513
5,514
5,515
5,516
5,517
5,518
9,519
9,520
9,521
11,522
11,523
13,524
13,525
13,526
15,527
15,528
18,529
20,530
20,531
35,532
46,533
61,534
68,535
78,536
94,537
144,538
184,539
221,540
0,541
0,542
0,543
0,544
0,545
1,546
1,547
1,548
1,549
1,550
1,551
1,552
1,553
1,554
1,555
1,556
1,557
1,558
1,559
1,560
1,561
1,562
1,563
1,564
1,565
1,566
1,567
1,568
1,569
1,570
1,571
1,572
1,573
1,574
1,575
1,576
1,577
1,578
1,579
1,580
1,581
1,582
1,583
1,584
1,585
1,586
2,587
2,588
2,589
3,590
3,591
5,592
7,593
7,594
7,595
33,596
35,597
37,598
51,599
53,600
0,601
0,602
0,603
0,604
0,605
1,606
1,607
1,608
1,609
1,610
1,611
1,612
1,613
1,614
1,615
1,616
1,617
1,618
1,619
1,620
1,621
1,622
1,623
1,624
1,625
1,626
1,627
1,628
1,629
1,630
1,631
1,632
1,633
1,634
1,635
1,636
1,637
1,638
1,639
1,640
1,641
1,642
1,643
1,644
1,645
1,646
1,647
1,648
1,649
2,650
2,651
6,652
10,653
18,654
28,655
44,656
51,657
60,658
73,659
77,660
0,661
0,662
0,663
0,664
0,665
1,666
4,667
4,668
4,669
5,670
8,671
10,672
12,673
12,674
12,675
12,676
13,677
13,678
14,679
14,680
16,681
16,682
16,683
16,684
16,685
16,686
16,687
16,688
16,689
16,690
16,691
16,692
16,693
16,694
17,695
27,696
46,697
48,698
79,699
130,700
159,701
196,702
262,703
482,704
670,705
799,706
1040,707
1176,708
1457,709
1908,710
2078,711
3675,712
4585,713
5795,714
7272,715
9257,716
12327,717
15320,718
19848,719
22213,720
0,721
0,722
0,723
0,724
0,725
0,726
0,727
1,728
1,729
1,730
1,731
1,732
1,733
1,734
1,735
1,736
1,737
1,738
1,739
1,740
1,741
1,742
1,743
1,744
1,745
1,746
1,747
1,748
1,749
1,750
1,751
1,752
1,753
1,754
1,755
2,756
2,757
2,758
3,759
6,760
6,761
6,762
6,763
12,764
15,765
15,766
23,767
30,768
40,769
59,770
59,771
155,772
225,773
244,774
277,775
321,776
336,777
400,778
450,779
523,780
0,781
0,782
0,783
0,784
0,785
0,786
0,787
4,788
4,789
4,790
4,791
5,792
5,793
5,794
5,795
5,796
5,797
7,798
7,799
8,800
8,801
8,802
8,803
8,804
8,805
9,806
9,807
9,808
9,809
9,810
9,811
13,812
13,813
13,814
13,815
13,816
13,817
19,818
21,819
21,820
21,821
27,822
27,823
29,824
29,825
45,826
45,827
45,828
74,829
74,830
85,831
85,832
85,833
98,834
98,835
98,836
113,837
140,838
140,839
153,840
0,841
0,842
0,843
0,844
0,845
0,846
0,847
0,848
1,849
1,850
1,851
2,852
2,853
2,854
2,855
2,856
3,857
3,858
3,859
3,860
3,861
3,862
3,863
3,864
3,865
3,866
3,867
3,868
3,869
3,870
3,871
3,872
3,873
3,874
3,875
3,876
3,877
3,878
3,879
3,880
3,881
3,882
3,883
3,884
5,885
6,886
10,887
20,888
33,889
49,890
52,891
64,892
111,893
140,894
142,895
187,896
202,897
217,898
230,899
307,900
0,901
0,902
0,903
0,904
0,905
0,906
0,907
0,908
1,909
1,910
1,911
2,912
3,913
3,914
3,915
3,916
3,917
3,918
3,919
3,920
3,921
3,922
3,923
3,924
3,925
3,926
3,927
3,928
3,929
3,930
3,931
3,932
3,933
3,934
3,935
3,936
3,937
3,938
3,939
3,940
5,941
5,942
28,943
30,944
31,945
34,946
39,947
43,948
56,949
62,950
73,951
82,952
102,953
113,954
119,955
142,956
156,957
194,958
244,959
330,960
0,961
0,962
0,963
0,964
0,965
0,966
0,967
0,968
0,969
2,970
2,971
2,972
2,973
2,974
2,975
2,976
3,977
3,978
3,979
3,980
3,981
3,982
3,983
3,984
3,985
3,986
3,987
3,988
3,989
3,990
20,991
62,992
155,993
229,994
322,995
453,996
655,997
888,998
1128,999
1694,1000
2036,1001
2502,1002
3089,1003
3858,1004
4636,1005
5883,1006
7375,1007
9172,1008
10149,1009
12462,1010
12462,1011
17660,1012
21157,1013
24747,1014
27980,1015
31506,1016
35713,1017
41035,1018
47021,1019
53578,1020
0,1021
0,1022
0,1023
0,1024
0,1025
0,1026
0,1027
0,1028
0,1029
1,1030
1,1031
1,1032
1,1033
1,1034
1,1035
1,1036
1,1037
1,1038
1,1039
1,1040
1,1041
1,1042
1,1043
1,1044
1,1045
1,1046
1,1047
1,1048
1,1049
1,1050
1,1051
1,1052
1,1053
1,1054
1,1055
2,1056
7,1057
7,1058
12,1059
14,1060
15,1061
21,1062
35,1063
94,1064
101,1065
161,1066
203,1067
248,1068
355,1069
500,1070
599,1071
814,1072
961,1073
1022,1074
1103,1075
1190,1076
1279,1077
1439,1078
1639,1079
1763,1080
0,1081
0,1082
0,1083
0,1084
0,1085
0,1086
0,1087
0,1088
0,1089
0,1090
1,1091
1,1092
1,1093
1,1094
1,1095
1,1096
1,1097
1,1098
2,1099
2,1100
2,1101
2,1102
2,1103
2,1104
2,1105
2,1106
2,1107
2,1108
2,1109
2,1110
2,1111
2,1112
2,1113
2,1114
6,1115
13,1116
15,1117
32,1118
45,1119
84,1120
120,1121
165,1122
222,1123
259,1124
400,1125
500,1126
673,1127
1073,1128
1695,1129
2277,1130
2277,1131
5232,1132
6391,1133
7798,1134
9942,1135
11748,1136
13910,1137
17963,1138
20410,1139
25374,1140
0,1141
0,1142
0,1143
0,1144
0,1145
0,1146
0,1147
0,1148
0,1149
0,1150
1,1151
2,1152
2,1153
2,1154
2,1155
2,1156
2,1157
2,1158
2,1159
2,1160
2,1161
2,1162
2,1163
2,1164
2,1165
2,1166
2,1167
2,1168
2,1169
2,1170
2,1171
2,1172
2,1173
2,1174
2,1175
2,1176
2,1177
2,1178
3,1179
3,1180
3,1181
3,1182
5,1183
5,1184
7,1185
7,1186
7,1187
7,1188
7,1189
9,1190
9,1191
16,1192
19,1193
20,1194
29,1195
29,1196
37,1197
42,1198
50,1199
67,1200
0,1201
0,1202
0,1203
0,1204
0,1205
0,1206
0,1207
0,1208
0,1209
0,1210
0,1211
0,1212
0,1213
1,1214
1,1215
1,1216
1,1217
1,1218
1,1219
1,1220
1,1221
1,1222
1,1223
1,1224
1,1225
1,1226
1,1227
1,1228
1,1229
1,1230
1,1231
1,1232
1,1233
1,1234
1,1235
1,1236
1,1237
1,1238
1,1239
2,1240
8,1241
13,1242
23,1243
50,1244
109,1245
169,1246
200,1247
239,1248
267,1249
314,1250
314,1251
559,1252
689,1253
886,1254
1058,1255
1243,1256
1486,1257
1795,1258
2257,1259
2815,1260
0,1261
0,1262
0,1263
0,1264
0,1265
0,1266
0,1267
0,1268
0,1269
0,1270
0,1271
0,1272
0,1273
0,1274
0,1275
0,1276
0,1277
0,1278
0,1279
0,1280
0,1281
0,1282
0,1283
1,1284
1,1285
1,1286
1,1287
1,1288
1,1289
1,1290
1,1291
1,1292
1,1293
1,1294
